evaluation_id,question,category,policy_id,expected_answer,difficulty,question_type
1,What is the policy for contact support?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Easy,Direct
2,What should I know about invoice requests?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Easy,Conversational
3,I have a question about order cancellation. What is the policy?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Medium,Policy-focused
4,What are the requirements for express delivery?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Hard,Policy-focused
5,I have a question about subscription cancellation. What is the policy?,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Medium,Policy-focused
6,I need help with order status. What does the policy say?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Easy,Policy-focused
7,I need help with order tracking. What does the policy say?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Easy,Policy-focused
8,How does the international delivery policy work?,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Medium,Paraphrased
9,Could you give me more information about original packaging?,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Hard,Conversational
10,What is the policy for return window?,Returns,RET001,Items can be returned within 30 days of delivery.,Easy,Direct
11,What should I know about order tracking?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Easy,Conversational
12,How does the warranty claims policy work?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Medium,Paraphrased
13,How does the damaged items policy work?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Medium,Paraphrased
14,What do I need to know regarding warranty period?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Medium,Direct
15,What should I know about promo codes?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Easy,Conversational
16,Can you explain the product information policy?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Easy,Paraphrased
17,Can I collect my order directly from your warehouse?,Unsupported,,The available company policy does not contain enough information to answer this question.,Hard,Unsupported
18,How does the company handle return window?,Returns,RET001,Items can be returned within 30 days of delivery.,Hard,Policy-focused
19,I have a question about product information. What is the policy?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Medium,Policy-focused
20,What do I need to know regarding invoice requests?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Medium,Direct
21,What information do you have about order tracking?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Medium,Conversational
22,What is the policy for order cancellation?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Easy,Direct
23,Can you tell me what the company policy says about warranty period?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Medium,Policy-focused
24,Please explain the company's order cancellation policy.,Orders,ORD001,Orders can be cancelled before they are dispatched.,Hard,Paraphrased
25,Please explain the company's subscription renewal policy.,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Hard,Paraphrased
26,What is the policy for order status?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Easy,Direct
27,What are the requirements for invoice requests?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Hard,Policy-focused
28,I need help with express delivery. What does the policy say?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Easy,Policy-focused
29,Please explain the company's return window policy.,Returns,RET001,Items can be returned within 30 days of delivery.,Hard,Paraphrased
30,Could you tell me about damaged items?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Easy,Policy-focused
31,I have a question about international tracking. What is the policy?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Medium,Policy-focused
32,Please explain the company's international tracking policy.,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Hard,Paraphrased
33,Can you tell me what the company policy says about invoice requests?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Medium,Policy-focused
34,Could you tell me about order tracking?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Easy,Policy-focused
35,What information do you have about accepted payment methods?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Medium,Conversational
36,I need help with order modification. What does the policy say?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Easy,Policy-focused
37,Can you explain the invoice requests policy?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Easy,Paraphrased
38,What do I need to know regarding product availability?,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Medium,Direct
39,I have a question about invoice availability. What is the policy?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Medium,Policy-focused
